inscricao,candidato,nascimento,pontuacao
190305,ANDRESSA RIBEIRO SILVA,01/04/1978,68
186542,FERNANDA SILVA ROCHA,06/09/1976,11
192104,ISABELA SANTOS FERREIRA,26/01/1979,70
191955,ALINE PEREIRA FERREIRA,16/04/2003,80
186013,NATALIA RIBEIRO SILVA,01/12/1984,5
187181,DANIELA CARVALHO LIMA,03/04/1999,15
190054,MARIA ALMEIDA PEREIRA,01/02/2001,73
188078,FERNANDA PEREIRA SANTOS,25/04/2000,7
188374,LARISSA CARVALHO BARBOSA,20/11/1995,74
192424,FERNANDA COSTA FERREIRA,24/01/1983,89
188999,AMANDA COSTA MOREIRA,29/05/1990,93
192353,DANIELA SANTOS PEREIRA,18/12/1997,53
187702,EDUARDA LIMA MOREIRA,01/12/1993,5
186271,MARIA BARBOSA BARBOSA,10/03/2006,44
193137,NATALIA NUNES SANTOS,14/03/1979,34
192767,VITORIA SANTOS SILVA,19/10/2007,89
190072,RAFAELA NUNES COSTA,23/02/2007,49
190685,ALICE NUNES MARTINS,16/07/1982,78
186918,LARISSA SILVA ROCHA,23/11/1987,16
189056,GABRIELA RIBEIRO MOREIRA,13/08/1978,21
192359,GABRIELA GOMES LIMA,24/04/1994,70
189561,VITORIA CARVALHO MARTINS,16/08/2005,48
188780,ANDRESSA SANTOS ALMEIDA,14/10/1981,29
188822,ALICE MOREIRA ALMEIDA,14/10/1986,36
185067,ANDRESSA CARVALHO MARTINS,10/05/2002,72
190220,ANDRESSA SILVA NUNES,12/07/2005,71
191428,GABRIELA RIBEIRO RIBEIRO,24/08/1979,61
191560,ALINE ROCHA SANTOS,13/05/1984,56
187659,ANA BARBOSA SILVA,05/08/1979,0
187478,MARIA PEREIRA MARTINS,13/07/2002,3
186152,BRUNA RIBEIRO LIMA,17/06/2003,32
190691,PATRICIA MARTINS MOREIRA,05/07/1980,14
192996,JULIANA MOREIRA MOREIRA,27/12/1988,10
187361,ANA BARBOSA GOMES,20/06/1996,88
187645,LETICIA OLIVEIRA ROCHA,11/09/1998,46
187401,VITORIA OLIVEIRA COSTA,03/11/2003,11
189278,LETICIA MARTINS ALMEIDA,15/12/1990,98
188650,MARIA BARBOSA FERREIRA,05/07/2002,100
188197,CAMILA RIBEIRO FERREIRA,20/12/1983,66
193073,FERNANDA OLIVEIRA OLIVEIRA,14/07/1987,60
189246,BRUNA MARTINS NUNES,09/06/2007,44
190974,AMANDA FERREIRA PEREIRA,05/03/1985,60
188222,EDUARDA ROCHA MOREIRA,29/12/2002,78
185031,LARISSA MARTINS SANTOS,19/08/2004,15
191365,VITORIA ROCHA MOREIRA,03/01/1983,55
190447,AMANDA RIBEIRO NUNES,02/01/1993,95
186391,BEATRIZ ALMEIDA LIMA,27/03/1976,19
192624,RAFAELA LIMA MOREIRA,25/06/2004,44
187554,MARIA LIMA OLIVEIRA,22/08/1975,92
186683,LETICIA LIMA CARVALHO,27/09/1983,27
185458,CARLA ROCHA COSTA,25/06/1997,30
190341,CARLA CARVALHO LIMA,24/09/1977,94
190796,JULIANA CARVALHO LIMA,09/11/1998,19
193577,LETICIA OLIVEIRA NUNES,20/03/1983,77
185064,ANDRESSA ALMEIDA LIMA,28/03/1996,79
186971,MARIA SILVA BARBOSA,10/08/2005,66
193695,MARIA MOREIRA PEREIRA,18/02/2000,7
189071,BRUNA GOMES SILVA,21/05/1979,64
192408,MARIA OLIVEIRA SANTOS,19/11/1994,41
193282,PATRICIA ROCHA GOMES,17/04/1995,65
193737,LARISSA FERREIRA GOMES,06/02/2000,25
192332,ANDRESSA CARVALHO PEREIRA,07/08/1992,56
190177,AMANDA FERREIRA CARVALHO,13/04/1978,27
189960,ANA LIMA MARTINS,31/05/1981,32
187248,JULIANA FERREIRA PEREIRA,12/11/1992,62
187667,VANESSA FERREIRA ALMEIDA,07/09/2006,55
193447,GABRIELA BARBOSA CARVALHO,13/10/1983,45
190218,AMANDA MARTINS OLIVEIRA,28/02/1990,70
192514,JULIANA OLIVEIRA RIBEIRO,14/11/1989,66
189840,LETICIA SANTOS PEREIRA,02/04/1985,13
186377,CARLA GOMES SILVA,22/02/1983,34
187122,ISABELA GOMES RIBEIRO,13/09/1981,68
193434,NATALIA MOREIRA BARBOSA,05/01/1979,35
185942,VITORIA ALMEIDA CARVALHO,01/04/1978,34
185275,RAFAELA SANTOS GOMES,04/10/1978,77
188643,AMANDA GOMES PEREIRA,10/05/1995,1
190556,MARIA CARVALHO GOMES,20/11/2002,16
185707,LETICIA FERREIRA PEREIRA,30/03/1982,33
185825,BEATRIZ ROCHA COSTA,15/03/2003,39
193701,BRUNA COSTA NUNES,07/06/1997,86
187914,CARLA MARTINS OLIVEIRA,27/03/1986,4
185251,ALICE ROCHA MOREIRA,08/01/1986,57
186741,VANESSA CARVALHO MOREIRA,28/06/1999,50
193301,DANIELA ROCHA FERREIRA,16/05/1990,25
187289,GABRIELA MARTINS SILVA,27/10/1980,1
186158,RAFAELA GOMES CARVALHO,28/04/1982,7
186384,VANESSA RIBEIRO COSTA,10/11/2001,31
189801,ALINE NUNES ALMEIDA,25/01/1982,34
192304,ALICE GOMES MARTINS,03/10/1989,70
190300,CAMILA SILVA COSTA,09/10/1984,45
187997,ALICE BARBOSA RIBEIRO,06/10/1978,60
189569,LETICIA ROCHA FERREIRA,22/08/1997,99
185081,AMANDA GOMES SANTOS,15/06/1981,51
185682,GABRIELA OLIVEIRA COSTA,24/08/1988,80
188814,AMANDA LIMA RIBEIRO,18/08/1989,92
193096,ANDRESSA COSTA LIMA,18/12/1976,91
193404,RAFAELA CARVALHO LIMA,30/06/1998,96
193263,NATALIA OLIVEIRA FERREIRA,26/10/1978,3
185685,ANDRESSA MARTINS PEREIRA,23/11/1991,57
185831,RAFAELA OLIVEIRA FERREIRA,12/12/1996,33
